Date,Light
2004-05-01,89.1
2004-05-02,95.2
2004-05-03,98.9
2004-05-04,100
2004-05-05,98.1
2004-05-06,93.3
2004-05-07,86
2004-05-08,76.8
2004-05-09,66.3
2004-05-10,55.2
2004-05-11,50
2004-05-12,33.8
2004-05-13,24.3
2004-05-14,16.1
2004-05-15,9.4
2004-05-16,4.5
2004-05-17,1.3
2004-05-18,0.1
2004-05-19,0
2004-05-20,3
2004-05-21,7
2004-05-22,12.6
2004-05-23,19.6
2004-05-24,27.8
2004-05-25,36.9
2004-05-26,46.8
2004-05-27,50
2004-05-28,67.3
2004-05-29,77.1
2004-05-30,85.9
2004-05-31,93.1
