"","x"
"1",0.0920731110385443
"2",0.0668733019982131
"3",0.0340987611722888
"4",0.0194431192455807
"5",0.0125986750252794
"6",0.0090335661318547
"7",0.00701237473153607
"8",0.00568598900783958
"9",0.00479783893490073
"10",0.0041557255436194
"11",0.00371571514468166
"12",0.0033577646296259
"13",0.00304496968125195
"14",0.00279335117884088
"15",0.00258228526564859
"16",0.00239846694486446
"17",0.0022375692331994
"18",0.00211068984817501
"19",0.00199146927022938
"20",0.00188845673809048
"21",0.00180630517205136
"22",0.00173728948623423
"23",0.00167788975709155
"24",0.00162406915763568
"25",0.00158043999546112
"26",0.00154526668991757
"27",0.00152216053931446
"28",0.00151662624624687
"29",0.00152938979848968
"30",0.0015648784026287
"31",0.00161269089736112
"32",0.0016632706198254
"33",0.00173512338972028
"34",0.00182768341003021
"35",0.00193905789368828
"36",0.00207276782467861
"37",0.00221385725035147
"38",0.00237023875090113
"39",0.002526053090474
"40",0.00269180461828953
"41",0.00288513932716044
"42",0.00309062608943148
"43",0.00330320709027837
"44",0.00351350034710732
"45",0.00374869158148413
"46",0.00399560042086884
"47",0.00425000494094061
"48",0.00450098478774279
"49",0.00477200767188922
"50",0.00506103541394206
