voxel,mean_lambda_min,sd_lambda_min,mean_lambda_1se,sd_lambda_1se
1,0.17997237,0.06468971,0.375413368,0.072597371
2,0.164639855,0.064359627,0.330010056,0.056802188
3,0.189354782,0.017589158,0.342590479,0.060510884
4,0.181952818,0.058189335,0.316572518,0.080693995
5,0.223627134,0.072936936,0.353556584,0.04509204
6,0.18035724,0.038844965,0.339371754,0.047820376
7,0.191643502,0.035855786,0.338050595,0.072732636
8,0.190469029,0.037516116,0.375309145,0.076821012
9,0.183071708,0.052689672,0.343249933,0.048371317
10,0.243090691,0.063002139,0.328037976,0.043335586
11,0.267557677,0.075494681,0.343796474,0.039297277
12,0.164868957,0.044376616,0.355594381,0.071863429
13,0.251794471,0.071457726,0.325265713,0.035966812
14,0.233550917,0.067018662,0.370773208,0.037406005
15,0.203981799,0.089313451,0.354158244,0.056906521
16,0.299735341,0.023411774,0.305350649,0.023314574
17,0.254473729,0.079677756,0.355395853,0.036866783
18,0.196069242,0.034698911,0.343556747,0.06388552
19,0.245646012,0.078016959,0.379927364,0.03768841
20,0.285062719,0.025783764,0.313391185,0.035084591
