voxel,mean_lambda_min,sd_lambda_min,mean_lambda_1se,sd_lambda_1se
1,196.7968974,108.1214754,408.3023712,41.23153414
2,119.5099752,80.92175606,426.0491811,55.74830009
3,193.1135454,95.14971357,414.3068696,45.57447903
4,165.9185924,90.1954516,426.4402983,35.16368428
5,177.3003279,114.1737655,428.9903915,64.3445853
6,171.8905566,84.00918747,415.1727627,50.20173567
7,137.6228424,98.42307228,425.6188106,43.9580153
8,133.1515213,62.27238747,422.064032,45.13249008
9,116.6339406,65.01436155,439.7352731,45.43869009
10,247.3234571,115.144081,345.0810353,28.73311702
11,254.9546619,103.8790288,343.7964744,39.29727723
12,167.8650619,94.48041941,412.0956648,44.40180508
13,244.4375198,62.48191144,325.2657127,35.96681212
14,273.6441605,78.66192642,378.9312841,31.48075846
15,156.4773651,113.2906225,407.0495508,53.92059754
16,278.3033599,63.28025291,305.3506488,23.31457421
17,268.9922861,64.96980854,368.3545998,32.88755237
18,83.55544742,42.16919114,423.7925558,33.65401622
19,291.1306134,80.31688236,379.9273642,37.68841015
20,273.4826324,77.04258838,313.3911848,35.08459055
